id_lead,fecha_contacto   ,canal_origen,estado_lead,tiempo_respuesta,num_interacciones,especialidad,precio,dias_consulta,precio_final
85,28.10.2025 06:08:25,WhatsApp,Cita agendada,66,24,Psicoeducacion,30,5,150
86,27.10.2025 21:21:24,WhatsApp,Cita agendada,84,30,Psicoeducacion,30,3,90
87,27.10.2025 20:34:53,Web,Informacion,37,8,Psicoeducacion,30,2,60
88,27.10.2025 19:54:12,Web,Informacion,53,23,Neuropsicologia,60,2,120
89,27.10.2025 19:49:19,WhatsApp,Cita agendada,6,15,Psicoeducacion,30,4,120
90,27.10.2025 19:20:45,WhatsApp,Cita agendada,65,4,Psicoeducacion,30,5,150
91,27.10.2025 18:58:08,Web,Informacion,20,17,Psicologia clinica,35,3,105
92,27.10.2025 18:43:04,WhatsApp,Cita agendada,27,13,Psicologia clinica,35,3,105
93,27.10.2025 18:32:18,WhatsApp,Cita agendada,29,20,Psicoeducacion,30,1,30
94,27.10.2025 18:28:02,WhatsApp,Informacion,93,11,Neuropsicologia,60,1,60
95,27.10.2025 18:22:48,WhatsApp,Informacion,51,15,Psicopedagogia,80,5,400
96,27.10.2025 18:10:47,Web,Informacion,39,1,Psicoeducacion,30,3,90
97,27.10.2025 17:59:14,WhatsApp,Cita agendada,36,17,Neuropsicologia,60,3,180
98,27.10.2025 14:49:13,WhatsApp,Cita agendada,73,7,Psicoeducacion,30,3,90
99,27.10.2025 14:41:03,Web,Informacion,83,3,Neuropsicologia,60,5,300
100,27.10.2025 13:55:11,WhatsApp,Cita agendada,73,7,Psicoeducacion,30,3,90
101,27.10.2025 13:46:29,WhatsApp,Cita agendada,33,27,Psicoeducacion,30,2,60
102,27.10.2025 13:36:51,Web,Informacion,13,21,Psicoeducacion,30,3,90
103,27.10.2025 12:35:49,WhatsApp,Cita agendada,16,15,Neuropsicologia,60,5,300
104,27.10.2025 12:35:05,WhatsApp,Informacion,100,14,Psicoeducacion,30,1,30
105,27.10.2025 12:29:29,WhatsApp,Cita agendada,57,11,Psicoeducacion,30,3,90
106,27.10.2025 11:51:10,Web,Informacion,38,16,Neuropsicologia,60,1,60
107,27.10.2025 11:44:49,Facebook,Informacion,72,2,Psicologia clinica,35,1,35
108,27.10.2025 11:32:29,WhatsApp,Cita agendada,57,3,Neuropsicologia,60,2,120
109,27.10.2025 11:19:01,WhatsApp,Cita agendada,30,12,Psicoeducacion,30,4,120
110,27.10.2025 10:24:28,WhatsApp,Cita agendada,6,5,Psicologia clinica,35,3,105
111,27.10.2025 09:36:03,WhatsApp,Informacion,87,19,Psicopedagogia,80,5,400
112,27.10.2025 09:12:52,WhatsApp,Cita agendada,26,26,Neuropsicologia,60,2,120
113,27.10.2025 09:08:07,WhatsApp,Cita agendada,18,5,Psicoeducacion,30,1,30
114,26.10.2025 23:59:42,Web,Informacion,5,15,Psicoeducacion,30,3,90
115,26.10.2025 20:55:54,WhatsApp,Cita agendada,79,5,Psicoeducacion,30,2,60
116,26.10.2025 17:59:46,WhatsApp,Cita agendada,12,30,Psicologia clinica,35,1,35
117,26.10.2025 15:47:11,WhatsApp,Informacion,39,1,Psicologia clinica,35,3,105
118,26.10.2025 15:41:39,WhatsApp,Cita agendada,27,20,Psicologia clinica,35,2,70
119,26.10.2025 14:06:51,Web,Informacion,61,28,Neuropsicologia,60,5,300
120,26.10.2025 10:18:11,WhatsApp,Cita agendada,86,27,Psicoeducacion,30,5,150
121,26.10.2025 08:00:49,WhatsApp,Cita agendada,6,8,Psicologia clinica,35,5,175
122,26.10.2025 03:57:22,Web,Informacion,32,9,Psicoeducacion,30,4,120
123,26.10.2025 03:15:47,WhatsApp,Cita agendada,26,3,Psicoeducacion,30,1,30
124,25.10.2025 18:44:59,Facebook,Informacion,84,11,Psicologia clinica,35,4,140
125,25.10.2025 17:25:08,Web,Informacion,68,21,Psicoeducacion,30,1,30
126,25.10.2025 16:10:14,WhatsApp,Cita agendada,18,28,Psicoeducacion,30,5,150
127,25.10.2025 13:07:03,WhatsApp,Cita agendada,60,8,Neuropsicologia,60,4,240
128,25.10.2025 12:36:56,WhatsApp,Cita agendada,81,4,Psicoeducacion,30,5,150
129,25.10.2025 10:57:45,WhatsApp,Cita agendada,28,26,Neuropsicologia,60,1,60
130,25.10.2025 09:26:05,WhatsApp,Cita agendada,79,8,Psicoeducacion,30,1,30
131,25.10.2025 07:30:44,Web,Informacion,47,11,Neuropsicologia,60,2,120
132,25.10.2025 05:45:33,Facebook,Informacion,13,20,Psicoeducacion,30,2,60
133,24.10.2025 22:52:12,WhatsApp,Informacion,93,16,Psicoeducacion,30,3,90
134,24.10.2025 22:48:59,WhatsApp,Cita agendada,13,20,Psicoeducacion,30,3,90
135,24.10.2025 21:29:24,WhatsApp,Cita agendada,72,10,Neuropsicologia,60,5,300
136,24.10.2025 20:35:43,Web,Informacion,87,21,Psicologia clinica,35,3,105
137,24.10.2025 20:31:13,WhatsApp,Informacion,96,18,Psicologia clinica,35,3,105
138,24.10.2025 20:09:34,WhatsApp,Cita agendada,12,10,Psicologia clinica,35,5,175
139,24.10.2025 19:50:21,WhatsApp,Cita agendada,81,22,Neuropsicologia,60,2,120
140,24.10.2025 19:20:26,Web,Informacion,61,27,Psicoeducacion,30,2,60
141,24.10.2025 18:37:29,Web,Informacion,46,3,Neuropsicologia,60,1,60
142,24.10.2025 18:05:28,WhatsApp,Cita agendada,33,12,Neuropsicologia,60,2,120
143,24.10.2025 15:16:23,Web,Informacion,46,12,Psicoeducacion,30,5,150
144,24.10.2025 15:15:48,WhatsApp,Cita agendada,23,18,Psicoeducacion,30,4,120
145,24.10.2025 13:05:49,Instagram,Informacion,66,30,Psicologia clinica,35,3,105
146,24.10.2025 13:00:03,Facebook,Informacion,18,20,Psicoeducacion,30,4,120
147,24.10.2025 11:48:47,WhatsApp,Informacion,92,9,Psicoeducacion,30,2,60
148,24.10.2025 09:59:50,Facebook,Informacion,80,23,Psicologia clinica,35,1,35
149,24.10.2025 09:46:27,WhatsApp,Cita agendada,6,7,Neuropsicologia,60,5,300
150,24.10.2025 09:09:03,WhatsApp,Informacion,97,18,Psicoeducacion,30,5,150
151,24.10.2025 08:45:11,Web,Informacion,97,27,Psicoeducacion,30,2,60
152,24.10.2025 08:37:42,WhatsApp,Cita agendada,79,26,Psicoeducacion,30,2,60
153,24.10.2025 07:14:29,Facebook,Informacion,19,12,Psicoeducacion,30,5,150
154,24.10.2025 07:14:14,Instagram,Informacion,46,27,Psicoeducacion,30,3,90
155,24.10.2025 05:07:12,Web,Informacion,10,13,Psicoeducacion,30,1,30
156,23.10.2025 22:55:53,WhatsApp,Cita agendada,28,22,Neuropsicologia,60,3,180
157,23.10.2025 20:59:59,WhatsApp,Informacion,34,1,Psicologia clinica,35,2,70
158,23.10.2025 19:31:00,WhatsApp,Cita agendada,72,6,Psicologia clinica,35,5,175
159,23.10.2025 19:26:57,Facebook,Informacion,71,6,Psicologia clinica,35,5,175
160,23.10.2025 18:24:00,WhatsApp,Cita agendada,17,10,Neuropsicologia,60,1,60
161,23.10.2025 18:22:58,Web,Informacion,75,9,Psicoeducacion,30,2,60
162,23.10.2025 18:01:37,WhatsApp,Cita agendada,40,18,Psicologia clinica,35,2,70
163,23.10.2025 15:24:36,WhatsApp,Informacion,96,7,Neuropsicologia,60,1,60
164,23.10.2025 14:48:25,Web,Informacion,89,5,Psicoeducacion,30,2,60
165,23.10.2025 14:08:24,Facebook,Informacion,74,5,Psicoeducacion,30,4,120
166,23.10.2025 13:59:00,Web,Informacion,70,29,Neuropsicologia,60,4,240
167,23.10.2025 13:11:16,WhatsApp,Cita agendada,46,26,Psicoeducacion,30,2,60
168,23.10.2025 13:01:03,WhatsApp,Cita agendada,15,7,Psicoeducacion,30,1,30
169,23.10.2025 12:56:40,Facebook,Informacion,9,26,Psicoeducacion,30,4,120
170,23.10.2025 12:33:50,WhatsApp,Cita agendada,34,15,Neuropsicologia,60,3,180
171,23.10.2025 12:33:46,WhatsApp,Cita agendada,12,24,Psicoeducacion,30,4,120
172,23.10.2025 12:18:35,WhatsApp,Cita agendada,36,8,Neuropsicologia,60,5,300
173,23.10.2025 11:31:03,WhatsApp,Cita agendada,5,15,Psicologia clinica,35,5,175
174,23.10.2025 11:17:59,WhatsApp,Cita agendada,37,3,Psicoeducacion,30,2,60
175,23.10.2025 10:52:53,Facebook,Informacion,39,8,Psicoeducacion,30,4,120
176,23.10.2025 10:40:30,Web,Informacion,84,10,Psicoeducacion,30,5,150
177,23.10.2025 09:01:04,WhatsApp,Cita agendada,23,7,Psicologia clinica,35,2,70
178,23.10.2025 07:18:50,WhatsApp,Cita agendada,28,10,Psicoeducacion,30,1,30
179,22.10.2025 20:38:46,WhatsApp,Cita agendada,8,27,Neuropsicologia,60,5,300
180,22.10.2025 20:01:14,WhatsApp,Cita agendada,9,10,Psicologia clinica,35,2,70
181,22.10.2025 19:44:20,WhatsApp,Cita agendada,76,19,Psicoeducacion,30,3,90
182,22.10.2025 17:44:37,WhatsApp,Cita agendada,77,3,Psicologia clinica,35,2,70
183,22.10.2025 17:33:14,Facebook,Informacion,87,19,Psicoeducacion,30,2,60
184,22.10.2025 16:24:50,Facebook,Informacion,52,9,Psicoeducacion,30,3,90
185,22.10.2025 16:15:18,Facebook,Informacion,19,27,Psicologia clinica,35,1,35
186,22.10.2025 16:00:18,Instagram,Informacion,95,11,Psicoeducacion,30,1,30
187,22.10.2025 14:01:08,Web,Informacion,87,3,Psicologia clinica,35,3,105
188,22.10.2025 13:44:26,WhatsApp,Cita agendada,7,25,Neuropsicologia,60,5,300
189,22.10.2025 12:01:40,WhatsApp,Cita agendada,54,27,Psicoeducacion,30,2,60
190,22.10.2025 11:29:18,WhatsApp,Cita agendada,52,23,Psicoeducacion,30,5,150
191,22.10.2025 11:19:45,Web,Informacion,56,7,Psicologia clinica,35,3,105
192,22.10.2025 10:13:27,WhatsApp,Cita agendada,68,12,Psicoeducacion,30,5,150
193,22.10.2025 10:05:29,WhatsApp,Informacion,95,4,Neuropsicologia,60,4,240
194,22.10.2025 09:13:25,WhatsApp,Cita agendada,67,13,Neuropsicologia,60,3,180
195,22.10.2025 09:06:48,WhatsApp,Cita agendada,40,6,Psicoeducacion,30,5,150
196,22.10.2025 08:13:58,WhatsApp,Cita agendada,18,10,Neuropsicologia,60,2,120
197,21.10.2025 23:42:40,WhatsApp,Cita agendada,45,20,Psicoeducacion,30,1,30
198,21.10.2025 23:05:54,WhatsApp,Cita agendada,63,18,Psicoeducacion,30,2,60
199,21.10.2025 21:45:32,WhatsApp,Cita agendada,69,22,Neuropsicologia,60,3,180
200,21.10.2025 21:15:27,WhatsApp,Cita agendada,6,8,Psicoeducacion,30,2,60
201,21.10.2025 19:23:42,WhatsApp,Informacion,24,12,Psicopedagogia,80,1,80
202,21.10.2025 19:11:14,WhatsApp,Cita agendada,49,18,Psicoeducacion,30,5,150
203,21.10.2025 18:32:53,WhatsApp,Cita agendada,36,20,Psicoeducacion,30,4,120
204,21.10.2025 18:31:34,WhatsApp,Cita agendada,9,23,Psicoeducacion,30,1,30
205,21.10.2025 17:50:39,WhatsApp,Cita agendada,53,13,Neuropsicologia,60,2,120
206,21.10.2025 16:06:05,WhatsApp,Cita agendada,14,21,Psicoeducacion,30,4,120
207,21.10.2025 13:43:01,Web,Informacion,74,22,Psicoeducacion,30,3,90
208,21.10.2025 11:30:44,WhatsApp,Informacion,98,5,Psicoeducacion,30,4,120
209,21.10.2025 11:27:46,Instagram,Informacion,6,9,Neuropsicologia,60,4,240
210,21.10.2025 11:01:18,WhatsApp,Cita agendada,36,16,Psicologia clinica,35,2,70
211,21.10.2025 10:16:49,WhatsApp,Cita agendada,55,25,Psicoeducacion,30,5,150
212,21.10.2025 09:46:05,WhatsApp,Cita agendada,24,16,Psicologia clinica,35,4,140
213,21.10.2025 09:30:55,WhatsApp,Cita agendada,54,28,Psicoeducacion,30,5,150
214,21.10.2025 09:22:36,WhatsApp,Informacion,94,21,Psicologia clinica,35,5,175
215,21.10.2025 09:22:12,WhatsApp,Informacion,35,24,Psicopedagogia,80,3,240
216,21.10.2025 09:16:44,WhatsApp,Cita agendada,21,25,Psicoeducacion,30,2,60
217,21.10.2025 08:22:37,WhatsApp,Cita agendada,76,5,Neuropsicologia,60,4,240
218,21.10.2025 08:02:46,WhatsApp,Cita agendada,28,16,Psicoeducacion,30,5,150
219,21.10.2025 07:47:29,WhatsApp,Cita agendada,44,4,Psicoeducacion,30,5,150
220,21.10.2025 07:39:09,Facebook,Informacion,48,20,Psicoeducacion,30,4,120
221,21.10.2025 06:38:14,WhatsApp,Cita agendada,20,9,Psicoeducacion,30,1,30
222,21.10.2025 04:50:15,WhatsApp,Cita agendada,76,10,Neuropsicologia,60,2,120
223,20.10.2025 23:00:31,WhatsApp,Cita agendada,28,24,Neuropsicologia,60,1,60
224,20.10.2025 22:10:35,WhatsApp,Cita agendada,32,15,Neuropsicologia,60,3,180
225,20.10.2025 21:05:13,WhatsApp,Cita agendada,45,7,Psicoeducacion,30,5,150
226,20.10.2025 19:46:03,WhatsApp,Cita agendada,41,24,Psicoeducacion,30,5,150
227,20.10.2025 19:14:11,WhatsApp,Informacion,93,28,Neuropsicologia,60,4,240
228,20.10.2025 19:08:23,WhatsApp,Cita agendada,89,6,Psicologia clinica,35,4,140
229,20.10.2025 18:43:53,WhatsApp,Cita agendada,25,6,Psicoeducacion,30,3,90
230,20.10.2025 17:24:09,Web,Informacion,26,9,Psicoeducacion,30,3,90
231,20.10.2025 16:48:10,WhatsApp,Informacion,94,20,Psicoeducacion,30,1,30
232,20.10.2025 15:53:53,WhatsApp,Cita agendada,5,13,Psicologia clinica,35,1,35
233,20.10.2025 15:46:50,WhatsApp,Informacion,91,6,Psicopedagogia,80,2,160
234,20.10.2025 15:28:11,Web,Informacion,83,4,Psicoeducacion,30,3,90
235,20.10.2025 15:05:59,Facebook,Informacion,21,10,Psicoeducacion,30,1,30
236,20.10.2025 14:43:19,WhatsApp,Cita agendada,14,14,Neuropsicologia,60,2,120
237,20.10.2025 13:47:08,WhatsApp,Cita agendada,17,20,Psicoeducacion,30,3,90
238,20.10.2025 13:23:15,Web,Informacion,31,16,Neuropsicologia,60,4,240
239,20.10.2025 12:49:29,Web,Informacion,22,12,Psicoeducacion,30,2,60
240,20.10.2025 12:48:24,WhatsApp,Cita agendada,37,10,Psicoeducacion,30,5,150
241,20.10.2025 12:08:08,Facebook,Informacion,92,30,Neuropsicologia,60,1,60
242,20.10.2025 11:29:03,Web,Informacion,14,1,Psicologia clinica,35,1,35
243,20.10.2025 11:22:10,WhatsApp,Cita agendada,27,6,Psicoeducacion,30,5,150
244,20.10.2025 11:17:03,WhatsApp,Cita agendada,60,3,Psicoeducacion,30,5,150
245,20.10.2025 10:04:35,WhatsApp,Informacion,52,1,Psicoeducacion,30,5,150
246,20.10.2025 09:20:59,Facebook,Informacion,18,14,Psicoeducacion,30,4,120
247,20.10.2025 08:56:25,WhatsApp,Informacion,84,1,Psicoeducacion,30,3,90
248,19.10.2025 22:50:14,WhatsApp,Informacion,15,21,Psicopedagogia,80,3,240
249,19.10.2025 22:40:06,WhatsApp,Cita agendada,84,21,Psicoeducacion,30,2,60
250,19.10.2025 21:51:00,Web,Informacion,28,12,Psicoeducacion,30,5,150
251,19.10.2025 19:28:22,WhatsApp,Cita agendada,47,23,Psicoeducacion,30,1,30
252,19.10.2025 16:31:46,WhatsApp,Cita agendada,83,4,Psicoeducacion,30,3,90
253,19.10.2025 15:39:50,Web,Informacion,18,21,Psicoeducacion,30,5,150
254,19.10.2025 14:59:03,WhatsApp,Cita agendada,52,17,Neuropsicologia,60,2,120
255,19.10.2025 13:45:41,WhatsApp,Cita agendada,68,20,Psicoeducacion,30,2,60
256,19.10.2025 12:00:12,WhatsApp,Cita agendada,71,12,Psicoeducacion,30,4,120
257,19.10.2025 08:31:07,Instagram,Informacion,98,1,Psicoeducacion,30,1,30
258,19.10.2025 08:22:39,WhatsApp,Cita agendada,5,16,Psicoeducacion,30,2,60
259,18.10.2025 22:50:15,WhatsApp,Cita agendada,5,20,Neuropsicologia,60,3,180
260,18.10.2025 22:28:17,WhatsApp,Cita agendada,65,7,Neuropsicologia,60,1,60
261,18.10.2025 22:09:15,Web,Informacion,17,13,Psicoeducacion,30,3,90
262,18.10.2025 19:55:41,WhatsApp,Cita agendada,39,6,Psicoeducacion,30,2,60
263,18.10.2025 19:06:53,Web,Informacion,86,6,Psicoeducacion,30,5,150
264,18.10.2025 18:45:35,Web,Informacion,89,23,Psicoeducacion,30,5,150
265,18.10.2025 18:43:18,WhatsApp,Cita agendada,50,12,Psicoeducacion,30,3,90
266,18.10.2025 17:55:52,WhatsApp,Cita agendada,50,28,Psicoeducacion,30,5,150
267,18.10.2025 17:04:51,WhatsApp,Cita agendada,79,23,Psicoeducacion,30,3,90
268,18.10.2025 15:12:26,WhatsApp,Informacion,52,2,Neuropsicologia,60,4,240
269,18.10.2025 14:23:31,WhatsApp,Cita agendada,54,9,Psicoeducacion,30,1,30
270,18.10.2025 12:06:35,WhatsApp,Informacion,94,29,Psicoeducacion,30,3,90
271,18.10.2025 10:06:24,WhatsApp,Informacion,93,15,Psicologia clinica,35,1,35
272,18.10.2025 08:24:39,WhatsApp,Cita agendada,60,7,Neuropsicologia,60,5,300
273,18.10.2025 08:03:57,Web,Informacion,44,17,Psicopedagogia,80,2,160
274,18.10.2025 07:36:52,WhatsApp,Cita agendada,82,30,Psicologia clinica,35,5,175
275,18.10.2025 07:24:11,WhatsApp,Informacion,91,12,Psicologia clinica,35,1,35
276,18.10.2025 07:10:15,WhatsApp,Cita agendada,16,22,Psicoeducacion,30,2,60
277,17.10.2025 23:30:27,Instagram,Informacion,24,23,Psicoeducacion,30,4,120
278,17.10.2025 22:19:33,Web,Informacion,22,10,Psicoterapia,40,5,200
279,17.10.2025 21:09:40,Facebook,Informacion,9,12,Psicologia clinica,35,4,140
280,17.10.2025 21:06:40,WhatsApp,Informacion,93,26,Psicoeducacion,30,4,120
281,17.10.2025 18:14:50,Web,Informacion,43,17,Neuropsicologia,60,5,300
282,17.10.2025 17:23:13,Web,Informacion,23,24,Psicologia clinica,35,5,175
283,17.10.2025 16:57:05,WhatsApp,Cita agendada,80,7,Psicoeducacion,30,2,60
284,17.10.2025 15:46:55,WhatsApp,Cita agendada,38,7,Psicoeducacion,30,2,60
285,17.10.2025 13:56:34,WhatsApp,Cita agendada,23,15,Psicoeducacion,30,5,150
286,17.10.2025 13:39:07,WhatsApp,Cita agendada,87,13,Neuropsicologia,60,1,60
287,17.10.2025 13:03:39,WhatsApp,Cita agendada,51,11,Psicologia clinica,35,5,175
288,17.10.2025 12:45:08,Web,Informacion,38,16,Psicoeducacion,30,3,90
289,17.10.2025 12:26:09,WhatsApp,Cita agendada,43,16,Psicoeducacion,30,2,60
290,17.10.2025 10:07:15,Web,Informacion,12,15,Neuropsicologia,60,2,120
291,17.10.2025 10:05:31,WhatsApp,Cita agendada,80,10,Neuropsicologia,60,4,240
292,17.10.2025 09:07:24,WhatsApp,Cita agendada,40,11,Neuropsicologia,60,1,60
293,17.10.2025 08:08:27,WhatsApp,Cita agendada,78,21,Neuropsicologia,60,4,240
294,17.10.2025 07:56:01,WhatsApp,Cita agendada,24,20,Neuropsicologia,60,5,300
295,17.10.2025 07:38:58,WhatsApp,Cita agendada,37,17,Psicoeducacion,30,1,30
296,17.10.2025 06:40:38,WhatsApp,Cita agendada,19,7,Neuropsicologia,60,3,180
297,16.10.2025 23:12:57,WhatsApp,Cita agendada,81,4,Psicoeducacion,30,5,150
298,16.10.2025 22:56:37,WhatsApp,Cita agendada,38,13,Psicoeducacion,30,3,90
299,16.10.2025 21:03:00,Web,Informacion,23,14,Psicoeducacion,30,3,90
300,16.10.2025 20:06:46,WhatsApp,Cita agendada,89,29,Neuropsicologia,60,4,240
301,16.10.2025 18:51:11,WhatsApp,Cita agendada,38,29,Psicologia clinica,35,5,175
302,16.10.2025 18:01:50,Web,Informacion,98,24,Psicoeducacion,30,1,30
303,16.10.2025 17:49:34,WhatsApp,Cita agendada,11,9,Psicoeducacion,30,5,150
304,16.10.2025 17:24:39,Facebook,Informacion,8,1,Psicoeducacion,30,3,90
305,16.10.2025 17:20:53,WhatsApp,Cita agendada,75,19,Psicoeducacion,30,4,120
306,16.10.2025 16:29:59,WhatsApp,Informacion,93,7,Neuropsicologia,60,2,120
307,16.10.2025 15:58:05,WhatsApp,Cita agendada,88,9,Psicologia clinica,35,4,140
308,16.10.2025 14:18:20,WhatsApp,Cita agendada,11,18,Neuropsicologia,60,5,300
309,16.10.2025 13:50:20,WhatsApp,Informacion,97,6,Neuropsicologia,60,1,60
310,16.10.2025 10:43:35,WhatsApp,Cita agendada,70,28,Psicologia clinica,35,2,70
311,16.10.2025 10:42:56,WhatsApp,Cita agendada,24,18,Neuropsicologia,60,3,180
312,16.10.2025 09:42:53,WhatsApp,Cita agendada,24,7,Psicoeducacion,30,5,150
